,orig_index,raw_name,Manufacturer,Source,Head Size,Length,Strung Weight,Balance,Swingweight,Beam Width,Tip/Shaft,Composition,Power Level,Stiffness,String Pattern,Main Skip,String Tension,tw_url,Merged Beam Width,Balance (pts),Head Size (in),Strung Weight (oz),Beam Width (avg. mm),Power Level (0-2),Length (in),String Tension (avg. lbs.),Mains,Crosses,String Density (X/in2),ID,Distance,Model,url,Current/Old Models,link,Head Size (in) jittered,Strung Weight (oz) jittered,Beam Width (avg. mm) jittered,Balance (pts) jittered,String Density (X/in2) jittered,Swingweight jittered,Stiffness jittered,Head Size (in) normed,Strung Weight (oz) normed,Balance (pts) normed,Stiffness normed,Beam Width (avg. mm) normed,String Density (X/in2) normed,Swingweight normed,Name
10,16,Babolat Pure Control 95+,Babolat,TWRF,95 sq. in. / 613 sq. cm.,27.50 inches / 69.85 cm,11.90 oz / 337 g,9pts HL,321.0,19.0mm,19.0mm / 19.0mm,Graphite Tungsten & Flex Carbon,Low,62.0,18 Mains/20 Crosses,"9T,8H,10H",52-62,,19.0mm/19.0mm / 19.0mm,-9,95.0,11.9,19.0,0.0,27.5,57.0,18.0,20.0,3.789473684210526,10,0.0,Pure Control 95+,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control+95+,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control+95+),94.86178948494057,11.943847424167801,19.328003546315742,-8.60833700293563,3.7442557001449326,321.4778951062226,62.047159013668804,-0.7142857142857143,0.7333333333333331,-0.8571428571428571,-0.6666666666666666,-1.2857142857142858,2.342105263157892,0.15789473684210525,Babolat Pure Control 95+
11,17,Babolat Pure Storm Team,Babolat,TWRF,98 sq. in. / 632 sq. cm.,27.00 inches / 68.58 cm,11.00 oz / 312 g,3pts HL,326.0,21.0mm,21.0mm / 21.0mm,Graphite / Zylon Matrix,Low-Medium,64.0,16 Mains/20 Crosses,"8T,8H",50-66,,21.0mm/21.0mm / 21.0mm,-3,98.0,11.0,21.0,0.5,27.0,58.0,16.0,20.0,3.2653061224489797,11,0.0,Pure Storm Team,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Team,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Team),98.46519328356092,11.039365229243778,21.497276119790257,-2.67010640040985,3.2290393054831816,325.94649924372294,64.24860087641471,-0.2857142857142857,0.13333333333333286,0.0,-0.3333333333333333,-0.7142857142857143,0.7040816326530607,0.42105263157894735,Babolat Pure Storm Team
12,18,Babolat  Pure Storm,Babolat,TWRF,98 sq. in. / 632 sq. cm.,27.00 inches / 68.58 cm,10.90 oz / 309 g,3pts HL,312.0,21.0mm,21.0mm / 21.0mm,Graphite Carbon Xtreme,Low,62.0,16 Mains/20 Crosses,"8T,8H",50-62,,21.0mm/21.0mm / 21.0mm,-3,98.0,10.9,21.0,0.0,27.0,56.0,16.0,20.0,3.2653061224489797,12,0.0,Pure Storm,https://www.ebay.com/sch/i.html?_nkw=Babolat++Pure+Storm,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat++Pure+Storm),98.44939842189999,10.896450614427714,20.587681389407372,-3.320279571198794,3.253511592268933,312.2362708367823,62.07255956150103,-0.2857142857142857,0.06666666666666643,0.0,-0.6666666666666666,-0.7142857142857143,0.7040816326530607,-0.3157894736842105,Babolat  Pure Storm
13,19,Babolat Pure Control Zylon 360,Babolat,TWRF,97 sq. in. / 626 sq. cm.,27.00 inches / 68.58 cm,11.00 oz / 312 g,3pts HL,319.0,21.5mm,21.5mm / 21.5mm,Graphite / Zylon,Low,67.0,16 Mains/20 Crosses,"8T,8H",48-66,,21.5mm/21.5mm / 21.5mm,-3,97.0,11.0,21.5,0.0,27.0,57.0,16.0,20.0,3.2989690721649483,13,0.0,Pure Control Zylon 360,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control+Zylon+360,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control+Zylon+360),96.95789554149026,10.986455401390282,21.387908414431305,-2.8038459788450365,3.278246588451478,319.15445017827335,67.25207074240839,-0.42857142857142855,0.13333333333333286,0.0,0.16666666666666666,-0.5714285714285714,0.8092783505154626,0.05263157894736842,Babolat Pure Control Zylon 360
14,20,Babolat Pure Control Zylon 360 Plus,Babolat,TWRF,97 sq. in. / 626 sq. cm.,27.50 inches / 69.85 cm,11.00 oz / 312 g,6pts HL,317.0,21.5mm,21.5mm / 21.5mm,Graphite / Zylon,Low,67.0,16 Mains/20 Crosses,"8T,8H",48-66,,21.5mm/21.5mm / 21.5mm,-6,97.0,11.0,21.5,0.0,27.5,57.0,16.0,20.0,3.2989690721649483,14,0.0,Pure Control Zylon 360 Plus,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control+Zylon+360+Plus,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control+Zylon+360+Plus),96.62316131123835,10.997053443667172,21.38238483367771,-5.503199306397667,3.2538564193156048,317.21228116931456,67.46875276846188,-0.42857142857142855,0.13333333333333286,-0.42857142857142855,0.16666666666666666,-0.5714285714285714,0.8092783505154626,-0.05263157894736842,Babolat Pure Control Zylon 360 Plus
15,21,Babolat Pure Storm GT,Babolat,TWRF,98 sq. in. / 632 sq. cm.,27.00 inches / 68.58 cm,11.00 oz / 312 g,1pts HL,327.0,21.0mm,21.0mm / 21.0mm,Graphite Tungsten,Low,63.0,16 Mains/20 Crosses,"8T,8H",55-62,,21.0mm/21.0mm / 21.0mm,-1,98.0,11.0,21.0,0.0,27.0,58.5,16.0,20.0,3.2653061224489797,15,0.0,Pure Storm GT,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+GT,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+GT),97.74090335142637,11.039195768602733,20.889971014140862,-1.4127573611457618,3.2586874411632163,327.2528628807241,62.74912766902227,-0.2857142857142857,0.13333333333333286,0.2857142857142857,-0.5,-0.7142857142857143,0.7040816326530607,0.47368421052631576,Babolat Pure Storm GT
16,22,Babolat Pure Control,Babolat,TWRF,98 sq. in. / 632 sq. cm.,27.00 inches / 68.58 cm,10.90 oz / 309 g,3pts HL,313.0,21.5mm,21.5mm / 21.5mm,Graphite/Tungsten & Flex Carbon,Low-Medium,62.0,16 Mains/20 Crosses,8T 8H,52-62,,21.5mm/21.5mm / 21.5mm,-3,98.0,10.9,21.5,0.5,27.0,57.0,16.0,20.0,3.2653061224489797,16,0.0,Pure Control,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control),97.75602185133395,10.861382501132267,21.702889849558094,-3.1695110514446125,3.3060992565417893,312.614655334448,62.46636715711747,-0.2857142857142857,0.06666666666666643,0.0,-0.6666666666666666,-0.5714285714285714,0.7040816326530607,-0.2631578947368421,Babolat Pure Control
17,23,Babolat Pure Strike VS,Babolat,TWRF,98 sq. in. / 632 sq. cm.,27.00 inches / 68.58 cm,11.00 oz / 312 g,3pts HL,317.0,21.0mm,21.0mm / 21.0mm,Graphite,Low-Medium,65.0,16 Mains/20 Crosses,"8T,8H",50-59,,21.0mm/21.0mm / 21.0mm,-3,98.0,11.0,21.0,0.5,27.0,54.5,16.0,20.0,3.2653061224489797,17,0.0,Pure Strike VS,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Strike+VS,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Strike+VS),97.70893784075201,10.95140146848201,20.767782938232425,-3.0725860296546714,3.30902603732162,317.06947405017695,64.8091758725651,-0.2857142857142857,0.13333333333333286,0.0,-0.16666666666666666,-0.7142857142857143,0.7040816326530607,-0.05263157894736842,Babolat Pure Strike VS
18,24,Babolat Pure Storm Tour Plus,Babolat,TWRF,98 sq. in. / 632 sq. cm.,27.50 inches / 69.85 cm,11.80 oz / 335 g,9pts HL,336.0,21.0mm,21.0mm / 21.0mm,Graphite Carbon Xtreme,Low,62.0,16 Mains/20 Crosses,"8T,8H",50-62,,21.0mm/21.0mm / 21.0mm,-9,98.0,11.8,21.0,0.0,27.5,56.0,16.0,20.0,3.2653061224489797,18,0.0,Pure Storm Tour Plus,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Tour+Plus,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Tour+Plus),98.26661263765996,11.789489732414445,20.54839546608238,-9.140469685124987,3.291668120672328,335.88680078988233,62.26254226054668,-0.2857142857142857,0.6666666666666666,-0.8571428571428571,-0.6666666666666666,-0.7142857142857143,0.7040816326530607,0.9473684210526315,Babolat Pure Storm Tour Plus
19,25,Babolat Pure Storm Tour,Babolat,TWRF,98 sq. in. / 632 sq. cm.,27.00 inches / 68.58 cm,11.80 oz / 335 g,6pts HL,333.0,21.0mm,21.0mm / 21.0mm,Graphite Carbon Xtreme,Low,63.0,16 Mains/20 Crosses,"8T,8H",50-62,,21.0mm/21.0mm / 21.0mm,-6,98.0,11.8,21.0,0.0,27.0,56.0,16.0,20.0,3.2653061224489797,19,0.0,Pure Storm Tour,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Tour,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Tour),98.20378767370681,11.842066335062132,20.518527037616767,-6.106156185199993,3.2298925164944414,333.22108071104765,62.943773340690974,-0.2857142857142857,0.6666666666666666,-0.42857142857142855,-0.5,-0.7142857142857143,0.7040816326530607,0.7894736842105263,Babolat Pure Storm Tour
